,Awards,Awards_Nominated,Awards_Won,BAFTA Film Award Awards_Nominated,Golden Globe Awards_Nominated,Golden Globe Awards_Won,Oscar Awards_Nominated,Oscar Awards_Won,Primetime Emmy Awards_Nominated,Primetime Emmy Awards_Won,Title,Year
11253,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,How to Dance in Ohio,2015
11255,3 nominations.,3,0,0,0,0,0,0,0,0,Albert,2015
11256,Nominated for 1 Golden Globe. Another 3 wins & 8 nominations.,8,3,0,1,0,0,0,0,0,Scream Queens,2015–
11257,3 nominations.,3,0,0,0,0,0,0,0,0,Childhood's End,2015
11258,1 win & 3 nominations.,3,1,0,0,0,0,0,0,0,PJ Masks,2015–
11263,Won 2 Golden Globes. Another 15 wins & 26 nominations.,26,15,0,0,2,0,0,0,0,Mr. Robot,2015–
11266,2 nominations.,2,0,0,0,0,0,0,0,0,Tales of Halloween,2015
11269,1 win.,0,1,0,0,0,0,0,0,0,Armans Geheimnis,2015–
11295,3 wins & 5 nominations.,5,3,0,0,0,0,0,0,0,Ash vs Evil Dead,2015–
11299,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,Strange Magic,2015
11303,2 wins.,0,2,0,0,0,0,0,0,0,The Birth of a Nation,2016
11325,1 nomination.,1,0,0,0,0,0,0,0,0,Bear Grylls: Mission Survive,2015–
11331,1 win.,0,1,0,0,0,0,0,0,0,This Giant Papier-Mâché Boulder Is Actually Really Heavy,2016
11358,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,First Girl I Loved,2016
11360,1 nomination.,1,0,0,0,0,0,0,0,0,Surviving the 70's,2015
11361,7 wins & 3 nominations.,3,7,0,0,0,0,0,0,0,Bite,2015
11363,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,The Dinner,2015
11368,1 nomination.,1,0,0,0,0,0,0,0,0,Caught,2015
11383,Nominated for 1 Oscar. Another 5 wins & 15 nominations.,15,5,0,0,0,1,0,0,0,What Happened; Miss Simone?,2015
11384,2 wins.,0,2,0,0,0,0,0,0,0,Dolphin Lover,2015
11388,1 win.,0,1,0,0,0,0,0,0,0,Atlanta,2016–
11393,1 win & 3 nominations.,3,1,0,0,0,0,0,0,0,Ville-Marie,2015
11395,Nominated for 4 Primetime Emmys. Another 1 win & 1 nomination.,1,1,0,0,0,0,0,4,0,Chef's Table,2015–
11414,1 nomination.,1,0,0,0,0,0,0,0,0,Coup de Grâce,2015
11423,2 nominations.,2,0,0,0,0,0,0,0,0,Batman vs. Robin,2015
11432,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,Carte Blanche,2015
11455,1 nomination.,1,0,0,0,0,0,0,0,0,Gangland Undercover,2015–
11468,4 wins & 12 nominations.,12,4,0,0,0,0,0,0,0,The Break-In,2015
11472,2 wins.,0,2,0,0,0,0,0,0,0,Selma: The Bridge to the Ballot,2015
11497,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,The Rat,2015
11503,1 win.,0,1,0,0,0,0,0,0,0,Better Things,2016–
11507,Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations.,5,1,0,0,0,0,0,1,0,Catastrophe,2015–
11516,1 nomination.,1,0,0,0,0,0,0,0,0,Three,2016
11517,2 wins & 4 nominations.,4,2,0,0,0,0,0,0,0,800 Words,2015–
11526,7 wins & 6 nominations.,6,7,0,0,0,0,0,0,0,Providence,2016
11542,3 wins & 1 nomination.,1,3,0,0,0,0,0,0,0,Comfort,2016
11543,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,American Snapper,2015
11559,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,Boys,2015
11568,3 wins & 9 nominations.,9,3,0,0,0,0,0,0,0,Felizes Para Sempre?,2015
11579,9 wins & 3 nominations.,3,9,0,0,0,0,0,0,0,Homeland (Iraq Year Zero),2015
11593,1 nomination.,1,0,0,0,0,0,0,0,0,Bounty Momma,2015
11600,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,Can You Dig This,2015
11604,4 wins.,0,4,0,0,0,0,0,0,0,The King of New Orleans,2015
11620,2 nominations.,2,0,0,0,0,0,0,0,0,Let's Dance: Bowie Down Under,2015
11623,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,Meine Tochter Anne Frank,2015
11628,1 nomination.,1,0,0,0,0,0,0,0,0,The Corpse of Anna Fritz,2015
11635,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,Wonderland,2015
11647,1 win & 3 nominations.,3,1,0,0,0,0,0,0,0,My Little Pony: Equestria Girls - Friendship Games,2015
11659,1 nomination.,1,0,0,0,0,0,0,0,0,Ruff-Ruff Tweet and Dave,2015–
11673,3 wins.,0,3,0,0,0,0,0,0,0,Billy the Bully,2015
11675,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,Death in Sarajevo,2016
11678,1 win.,0,1,0,0,0,0,0,0,0,Hero,2015
11684,6 wins & 4 nominations.,4,6,0,0,0,0,0,0,0,Big Birdman,2015
11688,2 wins.,0,2,0,0,0,0,0,0,0,Twenty-Eight Nights and a Poem,2015
11689,1 nomination.,1,0,0,0,0,0,0,0,0,The Magician,2015
